Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Relative_Gap,Solution_Status
83,-2544.3631987617023,322.82506012916565,-2544.3631987617036,-2544.6176098233286,9.999007285940369e-5,OPTIMAL
84,-3014.2767068780367,24.503118991851807,-3014.2767068780386,-3014.5780611071655,9.99756354283116e-5,OPTIMAL
85,-3989.726192794296,0.791395902633667,-3989.7261927942977,-3990.111311171522,9.652752059025576e-5,OPTIMAL
86,-3586.655687093114,2.7099461555480957,-3586.6556870931163,-3587.0118878520266,9.931278326829617e-5,OPTIMAL
87,-3708.4419323666007,0.017004013061523438,-3708.4419323666016,-3708.808325744479,9.879981527544844e-5,OPTIMAL
88,-3118.0120848073557,600.1014399528503,-3118.012084807356,-3120.7212088920346,0.0008688625993076523,TIME_LIMIT
89,-4277.721187183595,2.9945008754730225,-4277.721187183597,-4278.125366983228,9.448483946114335e-5,OPTIMAL
90,-2768.7791934019247,30.292852878570557,-2768.7791934019265,-2769.0559219963625,9.994606832334257e-5,OPTIMAL
91,-3570.3557892560475,10.821839094161987,-3570.3557892560484,-3570.711916969445,9.974572127192431e-5,OPTIMAL
92,-3686.980516424905,67.15963196754456,-3686.9805164249065,-3687.349161783408,9.998570832126381e-5,OPTIMAL
93,-3745.128473633557,1.8248858451843262,-3745.128473633559,-3745.4967368310977,9.83312588956799e-5,OPTIMAL
94,-3839.0947295955275,0.8601009845733643,-3839.0947295955298,-3839.098524310353,9.884400074221823e-7,OPTIMAL
95,-3603.2155371009803,2.686100959777832,-3603.215537100983,-3603.571631314168,9.882678666271272e-5,OPTIMAL
96,-4620.537850134199,0.44122886657714844,-4620.537850134201,-4620.956221583816,9.054604965581304e-5,OPTIMAL
97,-4458.3353337461085,17.809834003448486,-4458.33533374611,-4458.7810982073715,9.99845071964658e-5,OPTIMAL
98,-3218.1286004710964,7.878454208374023,-3218.128600471099,-3218.422642865532,9.137061657193628e-5,OPTIMAL
99,-3137.6497912472237,1.689789056777954,-3137.6497912472255,-3137.9576006009142,9.810188331005183e-5,OPTIMAL
100,-3410.206904847357,0.9973900318145752,-3410.2069048473577,-3410.5437355389777,9.87713358802922e-5,OPTIMAL
